msg,true_intent,true_escalate,trivial_intent_pred,trivial_escalate_pred,simple_intent_pred,simple_escalate_pred,simple_reply_eval,agent_intent_pred,agent_escalate_pred,agent_reply_eval,agent_reply_text
"Besides the bad service, they gave us Tidal, 6 months free. Now we get Hulu for free??! What else! @115714",general_inquiry,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 2, 'helpfulness': 1, 'tone': 3, 'actionability': 2, 'safety': 5, 'overall': 2.0, 'rationale': ""The agent's reply is a generic FAQ redirect that fails to address the customer's specific complaint about service quality or their question about additional promotions (Tidal, Hulu). While polite and safe, it lacks grounding in the customer's context, provides minimal help, and offers only a vague next step. The overall experience is dismissive and unhelpful.""}",general_inquiry,False,"{'groundedness': 5, 'helpfulness': 3, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.6, 'rationale': ""The agent correctly acknowledges the Tidal and Hulu perks and offers a clear next step (DM for account-specific details), maintaining a professional tone and avoiding any unsafe promises. However, the reply does not address the customer's complaint about poor service quality, which reduces helpfulness. The response is otherwise grounded, actionable, and safe.""}",We offer several great perks with our qualifying plans! Both Tidal and Hulu can be included depending on your plan. I'd be happy to check what's available for your specific account. Just send us a DM and we'll take a look! -MP
"Anyone know @115714 @115858 #IphoneX #FacialRecognition. How will it work with 3 party apps I use #TouchId like Banks, @SouthwestAir etc?",general_inquiry,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 2, 'helpfulness': 2, 'tone': 5, 'actionability': 3, 'safety': 5, 'overall': 2.5, 'rationale': ""The agent's reply is polite and safe, but it fails to address the customer's specific question about iPhone X Face ID compatibility with third-party apps like banking and Southwest Airlines. Instead of providing any information or guidance, the agent simply directs the customer to a generic FAQ link. This lacks groundedness (no reference to product knowledge or precedent), helpfulness (does not answer the core query), and actionability (the FAQ may not contain the specific answer). Tone and safety are appropriate.""}",general_inquiry,False,"{'groundedness': 3, 'helpfulness': 1, 'tone': 4, 'actionability': 2, 'safety': 5, 'overall': 2, 'rationale': ""The agent's reply is polite and safe but fails to address the customer's specific technical question about Face ID compatibility with third-party apps. Instead of providing any information or guidance, the agent simply asks the customer to send a direct message, which delays resolution and does not demonstrate helpfulness or actionability. No invented facts are present, so groundedness is neutral.""}",Thanks for reaching out! We'd be happy to help with your questions about Face ID and third-party apps. Please send us a DM so we can assist you further. -Agent
I’ve been with @115714 for a while but I’m becoming increasingly unhappy with their service. Like I want to leave now!,general_inquiry,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 2, 'helpfulness': 1, 'tone': 2, 'actionability': 2, 'safety': 5, 'overall': 2.0, 'rationale': ""The agent's reply is a generic FAQ redirect that does not acknowledge the customer's expressed intent to cancel service, lacks empathy, and provides no clear, actionable next step for account closure. While safe and polite in a minimal sense, it fails to address the core issue and would likely increase customer frustration.""}",general_inquiry,False,"{'groundedness': 3, 'helpfulness': 3, 'tone': 4, 'actionability': 3, 'safety': 5, 'overall': 3.6, 'rationale': ""The reply is polite and safe, but lacks specific grounding in policy or precedent. It acknowledges the customer's desire to leave and directs them to DM for assistance, which is a clear next step but could be more specific (e.g., which platform, what information to provide). The agent does not address the cancellation process or offer immediate solutions, limiting helpfulness and actionability.""}","Thanks for reaching out. We truly don't want to see you leave, please DM us so we can assist you with your concerns. - JA"
"@115714 She was told she needed to pay $100 deductible, that's outrageous. She's still recovering. You need to make an exception for these victims.",billing_issue,False,general_inquiry,False,billing_issue,False,"{'groundedness': 2, 'helpfulness': 2, 'tone': 4, 'actionability': 4, 'safety': 5, 'overall': 2.5, 'rationale': ""The agent's reply is polite and provides a clear next step (DM account number), but it fails to address the customer's core request for a deductible exception due to hardship. The response is generic and does not reference any policy or precedent, showing low groundedness and helpfulness. Tone and safety are appropriate, and actionability is clear but incomplete.""}",billing_issue,False,"{'groundedness': 5, 'helpfulness': 3, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.6, 'rationale': 'The reply follows standard customer service protocol by acknowledging the concern and requesting a direct message for further assistance. It is polite, professional, and provides a clear next step without making promises or leaking information. However, it does not directly address the specific request for a deductible exception, which limits its helpfulness for the immediate issue.'}",Hi there. We're sorry to hear about this situation. Please send us a DM with the details so we can further assist you. - CS
@sprintcare this has been going on since 5:04 am est.,service_outage,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 2, 'helpfulness': 1, 'tone': 3, 'actionability': 2, 'safety': 5, 'overall': 2.0, 'rationale': ""The agent's reply is a generic FAQ redirect that fails to acknowledge the customer's specific report of an ongoing service outage since 5:04 AM EST. It does not address the real issue, offer troubleshooting, or provide relevant next steps (e.g., outage status, ticket creation, or escalation). While the tone is polite and no safety concerns exist, the response is largely unhelpful and not actionable for the reported problem.""}",service_outage,False,"{'groundedness': 5, 'helpfulness': 4, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.8, 'rationale': ""The agent's reply acknowledges the service issue reported by the customer and provides a clear next step (DM for further investigation). It is consistent with the customer's statement, uses a polite and professional tone, and does not make any inappropriate promises or leak PII. The only minor shortfall is that the response could be slightly more helpful by acknowledging the specific duration (since 5:04 AM EST) or offering immediate troubleshooting steps, but directing to DM is standard practice for account-specific support.""}",We're sorry to hear you're experiencing a service issue. Please send us a DM so we can look into this for you. - Support
@115714 For two years I called for tower triangulations &amp; updates &amp; would have to stand in 1 spot outside to TRY to get service.,service_outage,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 1, 'helpfulness': 1, 'tone': 2, 'actionability': 1, 'safety': 5, 'overall': 1.5, 'rationale': ""The agent's reply is a generic FAQ redirect that fails to acknowledge the customer's specific, long-standing service issue (two years of poor connectivity requiring tower triangulation). It does not address the technical problem, offer troubleshooting, escalate, or create a ticket. While polite and safe, it is dismissive and unhelpful for a complex, chronic service complaint.""}",service_outage,False,"{'groundedness': 5, 'helpfulness': 3, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.6, 'rationale': ""The reply acknowledges the customer's long-standing service issues without inventing facts (groundedness 5). It offers a clear next step—sending a DM—for further investigation (actionability 5) and maintains a polite, professional tone (tone 5). However, it does not address the specific technical details mentioned (tower triangulations, needing to stand outside) or provide any immediate troubleshooting, making it only moderately helpful (helpfulness 3). No safety concerns are present (safety 5). Overall, the response is a solid first contact but could be more proactive.""}","Hi, we're concerned to hear about your ongoing service issues. Please send us a DM so we can look into this further and assist you. - NA"
@115714 didnt know y’all enable managements bad theft habits,general_inquiry,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 1, 'helpfulness': 1, 'tone': 2, 'actionability': 1, 'safety': 5, 'overall': 1.5, 'rationale': ""The agent's reply is a generic FAQ redirect that completely fails to address the customer's serious allegation about management enabling theft. It shows no acknowledgment of the specific concern, offers no investigation or escalation path, and uses an inappropriately cheerful tone for a complaint about ethical misconduct. While safe (no PII or false promises), it is unhelpful, non-actionable, and ungrounded in the actual issue.""}",general_inquiry,False,"{'groundedness': 2, 'helpfulness': 2, 'tone': 4, 'actionability': 4, 'safety': 5, 'overall': 3.0, 'rationale': 'The reply is polite and provides a clear next step (DM for details), but it fails to substantively address the serious allegation about management enabling theft. It offers a generic apology without acknowledging the specific concern, which limits helpfulness and groundedness. No safety issues or PII leakage.'}",Hi there! We're sorry to hear you feel this way. We'd like to look into any concerns you have. Please follow and DM us with more details so we can assist you further.
@sprintcare Yes,general_inquiry,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 1, 'helpfulness': 1, 'tone': 3, 'actionability': 2, 'safety': 5, 'overall': 2, 'rationale': ""The customer simply acknowledged a prior message with 'Yes', but the agent responded as if a question had been asked, directing them to a generic FAQ. This shows a lack of grounding in the actual conversation, fails to address the customer's intent, and provides an irrelevant next step. The tone is polite but mismatched, and while there are no safety concerns, the reply is largely unhelpful.""}",general_inquiry,True,"{'groundedness': 5, 'helpfulness': 4, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.8, 'rationale': ""The agent correctly moves the conversation to a private DM for account-specific investigation, which aligns with standard support procedures. The tone is polite and professional, and the next step is clear. However, the reply could be more helpful by acknowledging the customer's 'Yes' confirmation and briefly indicating what will be looked into, providing more context before asking for a DM.""}",Please send us a DM so we can look into this.
Sprint still trash though - Seriously disappointing. https://t.co/3rWRki7cFi,service_outage,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 2, 'helpfulness': 1, 'tone': 2, 'actionability': 2, 'safety': 5, 'overall': 2.0, 'rationale': ""The agent's reply is a generic FAQ redirect that fails to acknowledge the customer's specific complaint about Sprint service quality. The customer expressed frustration, not a question, making 'Thanks for your question!' tone-deaf and dismissive. No empathy, no reference to the service issue, and no clear path to resolution. The response is safe (no PII or false promises) but unhelpful and poorly grounded in the actual interaction.""}",service_outage,False,"{'groundedness': 3, 'helpfulness': 2, 'tone': 4, 'actionability': 4, 'safety': 5, 'overall': 3.5, 'rationale': ""The agent's reply is a standard template response that is polite, professional, and provides a clear next step (DM contact info) without safety issues. However, it lacks empathy or acknowledgment of the customer's specific frustration about service quality, making it minimally helpful. It does not reference any specific precedent or account details, so groundedness is neutral. The overall score reflects a competent but impersonal corporate response.""}","If you have concerns that need addressing, please DM your contact information. https://t.co/rMApsV8PQY"
My bill slowly went from $220/month to $330/month! @115714 I can’t wait to break up with y’all! Who has the best family plan with 3 teens out of @ATT  and @115911 #pleasehelp #imbeingrobbed,billing_issue,False,general_inquiry,False,billing_issue,False,"{'groundedness': 3, 'helpfulness': 2, 'tone': 4, 'actionability': 4, 'safety': 5, 'overall': 3.6, 'rationale': ""The agent's reply is polite and provides a clear next step (DM account number) for the billing issue, but it fails to address the customer's request for a family plan comparison for three teens. The response is generic and does not reference any specific account details or plan options, limiting its helpfulness. Groundedness is moderate as the reply aligns with standard support protocols but lacks personalized context. Safety is high as no inappropriate promises or PII are exposed.""}",billing_issue,False,"{'groundedness': 4, 'helpfulness': 3, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.4, 'rationale': ""The agent acknowledges the bill increase and offers to investigate via DM, which is professional and safe. However, the reply does not address the customer's explicit request for a comparison of family plans for three teens between AT&T and another provider, reducing helpfulness. The response is grounded in standard support protocol, provides a clear next step (DM), and maintains a polite tone.""}",We're sorry to see your bill has increased. We'd like to investigate this for you. Please send us a Direct Message so we can help. - CS
